챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
사일러스,50.6%,1595,균열 생성기 + 영겁의 지팡이,72.0%,25,리안드리의 고통 + 균열 생성기,70.0%,10,우주의 추진력 + 균열 생성기,66.7%,18,영겁의 지팡이 + 균열 생성기,53.7%,285,영겁의 지팡이 + 존야의 모래시계,53.5%,129,마법공학 로켓 벨트 + 존야의 모래시계,39.8%,88
케일,50.6%,741,크라켄 학살자 + 구인수의 격노검,60.0%,25,몰락한 왕의 검 + 마법사의 최후,59.5%,37,내셔의 이빨 + 마법사의 최후,56.2%,16,내셔의 이빨 + 구인수의 격노검,49.0%,143,몰락한 왕의 검 + 구인수의 격노검,52.0%,127,몰락한 왕의 검 + 마법사의 최후,59.5%,37
징크스,50.4%,1948,오만 + 원칙의 원형낫,72.7%,11,윤 탈 야생화살 + 필멸자의 운명,71.4%,14,무라마나 + 징수의 총,71.4%,14,윤 탈 야생화살 + 루난의 허리케인,51.7%,513,윤 탈 야생화살 + 무한의 대검,57.0%,256,크라켄 학살자 + 무한의 대검,44.4%,63
세주아니,50.4%,385,강철심장 + 가시 갑옷,63.6%,11,강철심장 + 워모그의 갑옷,51.9%,27,강철심장 + 종말의 겨울,50.6%,85,강철심장 + 종말의 겨울,50.6%,85,강철심장 + 끝없는 절망,48.6%,37,종말의 겨울 + 강철심장,50.0%,28
트위스티드 페이트,50.4%,1341,어둠불꽃 횃불 + 리안드리의 고통,72.4%,29,영겁의 지팡이 + 리치베인,71.1%,38,존야의 모래시계 + 고속 연사포,68.4%,19,루덴의 메아리 + 고속 연사포,53.0%,270,루덴의 메아리 + 리치베인,53.5%,155,영겁의 지팡이 + 고속 연사포,49.1%,55
카밀,50.4%,536,삼위일체 + 굶주린 히드라,61.9%,42,굶주린 히드라 + 죽음의 무도,58.3%,12,삼위일체 + 죽음의 무도,54.2%,48,삼위일체 + 갈라진 하늘,48.9%,178,삼위일체 + 죽음의 무도,54.2%,48,삼위일체 + 굶주린 히드라,61.9%,42
워윅,50.4%,226,발걸음 분쇄기 + 몰락한 왕의 검,76.9%,13,갈라진 하늘 + 정령의 형상,50.0%,10,갈라진 하늘 + 몰락한 왕의 검,46.5%,43,갈라진 하늘 + 몰락한 왕의 검,46.5%,43,발걸음 분쇄기 + 몰락한 왕의 검,76.9%,13,갈라진 하늘 + 정령의 형상,50.0%,10
멜,50.3%,1363,어둠불꽃 횃불 + 공허의 지팡이,85.7%,14,대천사의 포옹 + 어둠불꽃 횃불,65.0%,20,어둠불꽃 횃불 + 우주의 추진력,63.6%,11,루덴의 메아리 + 리안드리의 고통,51.8%,247,루덴의 메아리 + 그림자불꽃,52.6%,190,어둠불꽃 횃불 + 리안드리의 고통,57.3%,171
모데카이저,50.3%,756,리안드리의 고통 + 균열 생성기,72.4%,29,라일라이의 수정홀 + 리안드리의 고통,71.4%,21,라일라이의 수정홀 + 균열 생성기,58.8%,51,균열 생성기 + 라일라이의 수정홀,53.5%,217,라일라이의 수정홀 + 균열 생성기,58.8%,51,균열 생성기 + 리안드리의 고통,44.7%,38
룰루,50.3%,1143,미카엘의 축복 + 월석 재생기,75.0%,16,슈렐리아의 군가 + 강철의 솔라리 펜던트,75.0%,12,대천사의 포옹 + 슈렐리아의 군가,72.7%,11,월석 재생기 + 구원,49.3%,144,월석 재생기 + 대천사의 포옹,47.4%,97,월석 재생기 + 불타는 향로,54.5%,66
자크,50.1%,670,강철심장 + 태양불꽃 방패,61.9%,21,강철심장 + 가시 갑옷,58.3%,24,강철심장 + 정령의 형상,54.7%,75,강철심장 + 끝없는 절망,45.7%,127,강철심장 + 정령의 형상,54.7%,75,강철심장 + 워모그의 갑옷,44.4%,36
애니,50.1%,740,악의 + 모렐로노미콘,72.7%,11,루덴의 메아리 + 그림자불꽃,66.7%,12,악의 + 존야의 모래시계,60.5%,43,악의 + 폭풍 쇄도,55.6%,133,악의 + 리안드리의 고통,53.8%,119,악의 + 그림자불꽃,43.4%,76
우디르,50.0%,432,악의 + 라일라이의 수정홀,76.5%,17,리안드리의 고통 + 그림자불꽃,66.7%,24,종말의 겨울 + 리안드리의 고통,63.6%,33,악의 + 리안드리의 고통,36.8%,57,종말의 겨울 + 리안드리의 고통,63.6%,33,리안드리의 고통 + 종말의 겨울,40.7%,27
쉔,50.0%,766,란두인의 예언 + 강철심장,72.7%,11,끝없는 절망 + 강철심장,69.2%,13,워모그의 갑옷 + 강철심장,66.7%,12,강철심장 + 끝없는 절망,51.9%,206,강철심장 + 가시 갑옷,50.0%,66,강철심장 + 워모그의 갑옷,54.5%,66
탈론,50.0%,490,불경한 히드라 + 원칙의 원형낫,75.0%,12,월식 + 칠흑의 양날 도끼,60.0%,10,오만 + 징수의 총,57.1%,42,오만 + 원칙의 원형낫,55.2%,67,오만 + 징수의 총,57.1%,42,징수의 총 + 원칙의 원형낫,21.7%,23
자야,49.9%,1392,스태틱의 단검 + 무한의 대검,81.8%,11,스태틱의 단검 + 나보리 명멸검,65.0%,40,윤 탈 야생화살 + 헤르메스의 시미터,64.7%,17,윤 탈 야생화살 + 나보리 명멸검,47.6%,452,윤 탈 야생화살 + 무한의 대검,55.1%,138,정수 약탈자 + 나보리 명멸검,55.1%,78
소라카,49.9%,796,영겁의 지팡이 + 구원,88.2%,17,구원 + 월석 재생기,57.9%,38,월석 재생기 + 워모그의 갑옷,54.2%,83,월석 재생기 + 종말의 겨울,47.7%,153,월석 재생기 + 워모그의 갑옷,54.2%,83,월석 재생기 + 구원,47.4%,78
