챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
라칸,46.5%,101,강철심장 + 종말의 겨울,41.2%,17,강철심장 + 워모그의 갑옷,40.0%,5,종말의 겨울 + 강철의 솔라리 펜던트,14.3%,7,강철심장 + 종말의 겨울,41.2%,17,종말의 겨울 + 강철의 솔라리 펜던트,14.3%,7,강철심장 + 워모그의 갑옷,40.0%,5
시비르,46.4%,211,무한의 대검 + 윤 탈 야생화살,71.4%,7,윤 탈 야생화살 + 무한의 대검,57.9%,19,스태틱의 단검 + 징수의 총,40.0%,5,윤 탈 야생화살 + 나보리 명멸검,37.5%,64,윤 탈 야생화살 + 무한의 대검,57.9%,19,스태틱의 단검 + 나보리 명멸검,38.9%,18
트린다미어,46.4%,56,강철심장 + 몰락한 왕의 검,55.6%,9,-,-,-,-,-,-,강철심장 + 몰락한 왕의 검,55.6%,9,-,-,-,-,-,-
마스터 이,46.4%,110,징수의 총 + 무한의 대검,77.8%,9,징수의 총 + 몰락한 왕의 검,44.4%,9,몰락한 왕의 검 + 구인수의 격노검,41.2%,17,몰락한 왕의 검 + 구인수의 격노검,41.2%,17,징수의 총 + 무한의 대검,77.8%,9,징수의 총 + 몰락한 왕의 검,44.4%,9
애쉬,46.3%,272,몰락한 왕의 검 + 루난의 허리케인,71.4%,7,크라켄 학살자 + 루난의 허리케인,66.7%,9,몰락한 왕의 검 + 마법사의 최후,60.0%,5,윤 탈 야생화살 + 루난의 허리케인,52.6%,38,크라켄 학살자 + 몰락한 왕의 검,30.8%,13,윤 탈 야생화살 + 무한의 대검,54.5%,11
유미,46.2%,145,월석 재생기 + 불타는 향로,72.7%,11,구원 + 미카엘의 축복,66.7%,6,월석 재생기 + 구원,46.2%,13,루덴의 메아리 + 지평선의 초점,40.0%,25,월석 재생기 + 구원,46.2%,13,월석 재생기 + 미카엘의 축복,41.7%,12
탈론,46.2%,78,오만 + 원칙의 원형낫,50.0%,10,징수의 총 + 원칙의 원형낫,50.0%,6,오만 + 징수의 총,37.5%,8,오만 + 원칙의 원형낫,50.0%,10,오만 + 징수의 총,37.5%,8,징수의 총 + 원칙의 원형낫,50.0%,6
요릭,46.2%,26,갈라진 하늘 + 얼어붙은 건틀릿,71.4%,7,-,-,-,-,-,-,갈라진 하늘 + 얼어붙은 건틀릿,71.4%,7,-,-,-,-,-,-
제이스,46.0%,274,무라마나 + 오만,53.1%,32,무라마나 + 요우무의 유령검,50.0%,6,무라마나 + 징수의 총,50.0%,6,오만 + 무라마나,42.2%,102,무라마나 + 오만,53.1%,32,징수의 총 + 무라마나,35.3%,17
제드,45.8%,273,원칙의 원형낫 + 징수의 총,66.7%,6,원칙의 원형낫 + 불경한 히드라,60.0%,5,세릴다의 원한 + 월식,60.0%,5,오만 + 원칙의 원형낫,48.9%,47,오만 + 월식,48.6%,35,오만 + 독사의 송곳니,40.0%,10
다리우스,45.6%,103,삼위일체 + 갈라진 하늘,47.6%,21,발걸음 분쇄기 + 망자의 갑옷,42.9%,7,발걸음 분쇄기 + 스테락의 도전,28.6%,7,삼위일체 + 갈라진 하늘,47.6%,21,발걸음 분쇄기 + 망자의 갑옷,42.9%,7,발걸음 분쇄기 + 스테락의 도전,28.6%,7
트리스타나,45.6%,180,징수의 총 + 무한의 대검,71.4%,7,윤 탈 야생화살 + 무한의 대검,47.4%,19,무한의 대검 + 나보리 명멸검,40.0%,5,윤 탈 야생화살 + 나보리 명멸검,37.0%,46,윤 탈 야생화살 + 무한의 대검,47.4%,19,징수의 총 + 나보리 명멸검,30.0%,10
바이,45.5%,110,갈라진 하늘 + 죽음의 무도,62.5%,8,오만 + 징수의 총,50.0%,8,갈라진 하늘 + 월식,41.4%,29,갈라진 하늘 + 월식,41.4%,29,갈라진 하늘 + 죽음의 무도,62.5%,8,오만 + 징수의 총,50.0%,8
베이가,45.5%,176,루덴의 메아리 + 그림자불꽃,57.1%,14,영겁의 지팡이 + 대천사의 포옹,51.5%,33,루덴의 메아리 + 존야의 모래시계,40.0%,5,영겁의 지팡이 + 대천사의 포옹,51.5%,33,루덴의 메아리 + 그림자불꽃,57.1%,14,대천사의 포옹 + 영겁의 지팡이,23.1%,13
퀸,45.2%,73,징수의 총 + 무한의 대검,53.3%,15,스태틱의 단검 + 징수의 총,50.0%,6,-,-,-,징수의 총 + 무한의 대검,53.3%,15,스태틱의 단검 + 징수의 총,50.0%,6,-,-,-
카르마,45.1%,215,루덴의 메아리 + 악의,80.0%,10,루덴의 메아리 + 폭풍 쇄도,66.7%,6,악의 + 리안드리의 고통,57.1%,14,악의 + 루덴의 메아리,35.7%,42,악의 + 그림자불꽃,44.4%,18,악의 + 리안드리의 고통,57.1%,14
블리츠크랭크,44.8%,268,워모그의 갑옷 + 종말의 겨울,63.6%,11,종말의 겨울 + 케이닉 루컨,57.1%,14,강철심장 + 케이닉 루컨,57.1%,7,악의 + 폭풍 쇄도,40.0%,25,강철심장 + 종말의 겨울,31.8%,22,종말의 겨울 + 워모그의 갑옷,38.9%,18
라이즈,44.7%,150,영겁의 지팡이 + 대천사의 포옹,44.8%,67,대천사의 포옹 + 영겁의 지팡이,44.0%,25,-,-,-,영겁의 지팡이 + 대천사의 포옹,44.8%,67,대천사의 포옹 + 영겁의 지팡이,44.0%,25,-,-,-
쉔,44.6%,83,강철심장 + 워모그의 갑옷,57.1%,7,거대한 히드라 + 끝없는 절망,40.0%,5,강철심장 + 공허한 광휘,33.3%,6,강철심장 + 끝없는 절망,30.4%,23,강철심장 + 워모그의 갑옷,57.1%,7,강철심장 + 공허한 광휘,33.3%,6
다이애나,44.6%,121,마법공학 로켓 벨트 + 폭풍 쇄도,71.4%,7,마법공학 로켓 벨트 + 그림자불꽃,66.7%,6,존야의 모래시계 + 마법공학 로켓 벨트,62.5%,8,마법공학 로켓 벨트 + 존야의 모래시계,16.7%,18,존야의 모래시계 + 마법공학 로켓 벨트,62.5%,8,강철심장 + 균열 생성기,57.1%,7
애니비아,44.5%,110,대천사의 포옹 + 리안드리의 고통,60.0%,5,영겁의 지팡이 + 대천사의 포옹,52.0%,25,악의 + 대천사의 포옹,50.0%,6,영겁의 지팡이 + 대천사의 포옹,52.0%,25,대천사의 포옹 + 영겁의 지팡이,38.5%,13,영겁의 지팡이 + 리안드리의 고통,22.2%,9
나피리,44.1%,68,오만 + 월식,52.4%,21,오만 + 징수의 총,42.9%,7,월식 + 쇼진의 창,40.0%,5,오만 + 월식,52.4%,21,오만 + 징수의 총,42.9%,7,월식 + 쇼진의 창,40.0%,5
르블랑,43.3%,215,루덴의 메아리 + 공허의 지팡이,66.7%,6,폭풍 쇄도 + 그림자불꽃,50.0%,6,루덴의 메아리 + 폭풍 쇄도,49.2%,63,루덴의 메아리 + 폭풍 쇄도,49.2%,63,루덴의 메아리 + 그림자불꽃,42.9%,49,루덴의 메아리 + 라바돈의 죽음모자,25.0%,12
모데카이저,43.3%,104,균열 생성기 + 실험적 마공학판,60.0%,5,균열 생성기 + 라일라이의 수정홀,50.0%,34,균열 생성기 + 리안드리의 고통,16.7%,6,균열 생성기 + 라일라이의 수정홀,50.0%,34,균열 생성기 + 리안드리의 고통,16.7%,6,균열 생성기 + 실험적 마공학판,60.0%,5
오리아나,43.0%,186,루덴의 메아리 + 그림자불꽃,53.3%,30,루덴의 메아리 + 존야의 모래시계,50.0%,10,악의 + 그림자불꽃,40.0%,10,루덴의 메아리 + 그림자불꽃,53.3%,30,루덴의 메아리 + 폭풍 쇄도,34.6%,26,악의 + 폭풍 쇄도,36.4%,11
제리,42.9%,170,실험적 마공학판 + 루난의 허리케인,100.0%,5,윤 탈 야생화살 + 루난의 허리케인,45.5%,55,스태틱의 단검 + 루난의 허리케인,38.1%,21,윤 탈 야생화살 + 루난의 허리케인,45.5%,55,스태틱의 단검 + 루난의 허리케인,38.1%,21,윤 탈 야생화살 + 무한의 대검,36.4%,11
스웨인,42.5%,146,존야의 모래시계 + 라일라이의 수정홀,71.4%,7,영겁의 지팡이 + 균열 생성기,60.0%,5,영겁의 지팡이 + 정령의 형상,50.0%,8,영겁의 지팡이 + 라일라이의 수정홀,47.1%,34,영겁의 지팡이 + 리안드리의 고통,38.5%,13,영겁의 지팡이 + 정령의 형상,50.0%,8
벨베스,42.4%,59,크라켄 학살자 + 몰락한 왕의 검,40.0%,15,-,-,-,-,-,-,크라켄 학살자 + 몰락한 왕의 검,40.0%,15,-,-,-,-,-,-
자이라,42.2%,135,어둠불꽃 횃불 + 그림자불꽃,60.0%,5,어둠불꽃 횃불 + 라일라이의 수정홀,46.7%,15,악의 + 리안드리의 고통,44.4%,9,어둠불꽃 횃불 + 리안드리의 고통,36.0%,50,어둠불꽃 횃불 + 라일라이의 수정홀,46.7%,15,악의 + 리안드리의 고통,44.4%,9
조이,42.2%,180,루덴의 메아리 + 라바돈의 죽음모자,68.8%,16,루덴의 메아리 + 지평선의 초점,61.5%,26,루덴의 메아리 + 폭풍 쇄도,37.5%,40,루덴의 메아리 + 폭풍 쇄도,37.5%,40,루덴의 메아리 + 그림자불꽃,34.5%,29,루덴의 메아리 + 지평선의 초점,61.5%,26
타릭,42.2%,45,종말의 겨울 + 끝없는 절망,60.0%,5,강철심장 + 종말의 겨울,33.3%,9,종말의 겨울 + 강철심장,20.0%,5,강철심장 + 종말의 겨울,33.3%,9,종말의 겨울 + 끝없는 절망,60.0%,5,종말의 겨울 + 강철심장,20.0%,5
직스,41.9%,179,악의 + 리안드리의 고통,71.4%,7,루덴의 메아리 + 리안드리의 고통,63.6%,11,어둠불꽃 횃불 + 리안드리의 고통,53.1%,32,어둠불꽃 횃불 + 리안드리의 고통,53.1%,32,루덴의 메아리 + 그림자불꽃,17.6%,17,루덴의 메아리 + 지평선의 초점,36.4%,11
티모,41.2%,160,악의 + 라바돈의 죽음모자,80.0%,5,어둠불꽃 횃불 + 리안드리의 고통,80.0%,5,리안드리의 고통 + 악의,40.0%,10,악의 + 리안드리의 고통,39.4%,71,악의 + 그림자불꽃,30.0%,10,리안드리의 고통 + 악의,40.0%,10
레넥톤,41.1%,73,갈라진 하늘 + 쇼진의 창,50.0%,6,갈라진 하늘 + 월식,28.6%,7,월식 + 갈라진 하늘,26.7%,15,월식 + 갈라진 하늘,26.7%,15,갈라진 하늘 + 월식,28.6%,7,갈라진 하늘 + 쇼진의 창,50.0%,6
볼리베어,40.7%,59,강철심장 + 끝없는 절망,42.1%,19,종말의 겨울 + 끝없는 절망,33.3%,6,-,-,-,강철심장 + 끝없는 절망,42.1%,19,종말의 겨울 + 끝없는 절망,33.3%,6,-,-,-
케인,40.5%,74,월식 + 칠흑의 양날 도끼,60.0%,5,오만 + 무라마나,30.0%,10,-,-,-,오만 + 무라마나,30.0%,10,월식 + 칠흑의 양날 도끼,60.0%,5,-,-,-
닐라,40.4%,52,징수의 총 + 불멸의 철갑궁,50.0%,8,징수의 총 + 무한의 대검,26.7%,15,징수의 총 + 나보리 명멸검,20.0%,5,징수의 총 + 무한의 대검,26.7%,15,징수의 총 + 불멸의 철갑궁,50.0%,8,징수의 총 + 나보리 명멸검,20.0%,5
헤카림,40.3%,62,무라마나 + 쇼진의 창,41.7%,12,무라마나 + 월식,20.0%,10,-,-,-,무라마나 + 쇼진의 창,41.7%,12,무라마나 + 월식,20.0%,10,-,-,-
바드,40.2%,107,스태틱의 단검 + 고속 연사포,80.0%,5,루덴의 메아리 + 고속 연사포,40.0%,15,루덴의 메아리 + 리치베인,39.1%,23,루덴의 메아리 + 리치베인,39.1%,23,루덴의 메아리 + 고속 연사포,40.0%,15,스태틱의 단검 + 고속 연사포,80.0%,5
하이머딩거,39.4%,94,어둠불꽃 횃불 + 라일라이의 수정홀,57.1%,7,어둠불꽃 횃불 + 리안드리의 고통,52.0%,25,어둠불꽃 횃불 + 존야의 모래시계,50.0%,6,어둠불꽃 횃불 + 리안드리의 고통,52.0%,25,어둠불꽃 횃불 + 라일라이의 수정홀,57.1%,7,어둠불꽃 횃불 + 존야의 모래시계,50.0%,6
릴리아,39.2%,102,리안드리의 고통 + 어둠불꽃 횃불,40.0%,10,라일라이의 수정홀 + 리안드리의 고통,40.0%,5,어둠불꽃 횃불 + 리안드리의 고통,30.8%,26,어둠불꽃 횃불 + 리안드리의 고통,30.8%,26,리안드리의 고통 + 어둠불꽃 횃불,40.0%,10,리안드리의 고통 + 균열 생성기,0.0%,7
유나라,35.8%,106,몰락한 왕의 검 + 루난의 허리케인,66.7%,6,윤 탈 야생화살 + 무한의 대검,42.9%,7,윤 탈 야생화살 + 루난의 허리케인,33.3%,27,윤 탈 야생화살 + 루난의 허리케인,33.3%,27,크라켄 학살자 + 루난의 허리케인,33.3%,12,윤 탈 야생화살 + 무한의 대검,42.9%,7
